Plotting labels...
[34m[1mautoanchor: [39m[22mAnalyzing anchors... anchors/target = 5.53, Best Possible Recall (BPR) = 1.0000
                 all         32        145      0.986      0.945      0.969      0.769
                 all         32        145      0.986      0.945       0.97      0.787
                 all         32        145      0.979      0.945      0.978       0.77
                 all         32        145      0.979      0.945      0.977      0.777
                 all         32        145      0.979      0.945      0.977      0.792
                 all         32        145      0.978      0.938      0.977      0.794
                 all         32        145      0.979      0.945      0.977      0.741
                 all         32        145      0.979      0.945      0.975      0.783
                 all         32        145      0.979      0.945      0.976      0.733
                 all         32        145      0.985      0.938      0.973      0.777
                 all         32        145      0.978      0.938      0.973      0.772
                 all         32        145      0.965      0.945      0.974      0.789
                 all         32        145      0.959      0.959      0.977      0.781
                 all         32        145      0.985      0.924      0.971      0.789
                 all         32        145      0.946      0.959      0.972      0.752
                 all         32        145      0.979      0.945      0.976      0.795
                 all         32        145      0.979      0.945      0.973      0.773
                 all         32        145      0.978      0.945      0.976      0.785
                 all         32        145      0.958      0.959      0.975      0.737
                 all         32        145      0.952      0.965      0.971      0.786
                 all         32        145      0.985      0.931       0.97      0.753
                 all         32        145      0.978      0.938      0.968      0.807
                 all         32        145      0.978      0.938      0.969      0.802
                 all         32        145      0.986      0.938      0.971      0.799
                 all         32        145      0.985      0.938      0.968      0.799
                 all         32        145      0.985      0.938      0.973      0.811
                 all         32        145      0.986      0.938      0.972      0.794
                 all         32        145      0.985      0.938      0.977      0.805
                 all         32        145      0.985      0.938      0.977      0.797
                 all         32        145      0.985      0.938      0.977      0.815
                 all         32        145      0.985      0.931      0.976      0.795
                 all         32        145      0.985      0.931      0.977       0.78
                 all         32        145      0.946      0.965      0.977      0.795
                 all         32        145      0.986      0.944      0.978      0.811
                 all         32        145      0.985      0.931      0.976      0.782
                 all         32        145      0.965      0.959      0.978      0.798
                 all         32        145      0.985      0.931      0.978      0.791
                 all         32        145      0.979      0.945      0.977      0.804
                 all         32        145      0.965      0.945      0.976      0.807
                 all         32        145      0.965      0.952      0.973      0.804
                 all         32        145      0.979      0.945      0.972      0.787
                 all         32        145      0.965      0.945      0.972      0.796
                 all         32        145      0.958      0.945      0.971      0.777
                 all         32        145      0.965      0.945      0.977       0.81
                 all         32        145      0.972      0.959      0.978      0.821
                 all         32        145      0.972      0.952      0.979      0.829
                 all         32        145      0.972      0.952      0.979      0.813
                 all         32        145      0.965      0.959      0.981      0.827
                 all         32        145      0.972      0.952       0.98      0.812
                 all         32        145      0.959      0.959       0.98      0.827
                 all         32        145      0.986      0.945      0.979      0.822
                 all         32        145      0.978      0.945      0.979      0.818
                 all         32        145      0.979      0.952      0.979      0.823
                 all         32        145      0.979      0.952      0.978      0.827
                 all         32        145      0.972      0.952      0.977      0.819
                 all         32        145      0.972      0.952      0.977      0.824
                 all         32        145      0.972      0.945      0.979      0.819
                 all         32        145      0.986      0.945      0.981      0.838
                 all         32        145      0.986      0.945      0.979      0.817
                 all         32        145      0.965      0.952      0.979       0.84
                 all         32        145      0.978      0.945      0.978       0.82
                 all         32        145      0.979      0.945      0.979      0.833
                 all         32        145      0.979      0.945       0.98      0.827
                 all         32        145      0.972      0.952       0.98      0.841
                 all         32        145      0.972      0.952      0.979       0.83
                 all         32        145      0.972      0.952      0.979      0.838
                 all         32        145      0.965      0.959      0.981      0.836
                 all         32        145      0.965      0.958      0.984      0.839
                 all         32        145      0.965      0.952      0.983      0.832
                 all         32        145      0.972      0.945      0.983      0.834
                 all         32        145      0.959      0.959       0.98      0.829
                 all         32        145      0.965      0.959      0.976      0.836
                 all         32        145      0.959      0.966      0.975      0.824
                 all         32        145      0.959      0.966      0.978      0.824
